Year,month,lf,emp,unemp
2012,Jan,154381,141584,12797
2012,Feb,154671,141858,12813
2012,Mar,154749,142036,12713
2012,Apr,154545,141899,12646
2012,May,154866,142206,12660
2012,Jun,155083,142391,12692
2012,Jul,154948,142292,12656
2012,Aug,154763,142291,12471
2012,Sep,155160,143044,12115
2012,Oct,155554,143431,12124
2012,Nov,155338,143333,12005
2012,Dec,155628,143330,12298
2013,Jan,155763,143292,12471
2013,Feb,155312,143362,11950
2013,Mar,155005,143316,11689
2013,Apr,155394,143635,11760
2013,May,155536,143882,11654
2013,Jun,155749,143999,11751
2013,Jul,155599,144264,11335
2013,Aug,155605,144326,11279
2013,Sep,155687,144418,11270
2013,Oct,154673,143537,11136
2013,Nov,155265,144479,10787
2013,Dec,155182,144778,10404
2014,Jan,155352,145150,10202
2014,Feb,155483,145134,10349
2014,Mar,156028,145648,10380
2014,Apr,155369,145667,9702
2014,May,155684,145825,9859
2014,Jun,155707,146247,9460
2014,Jul,156007,146399,9608
2014,Aug,156130,146530,9599
2014,Sep,156040,146778,9262
2014,Oct,156417,147427,8990
2014,Nov,156494,147404,9090
2014,Dec,156332,147615,8717
2015,Jan,157030,148145,8885
2015,Feb,156644,148045,8599
2015,Mar,156643,148128,8515
2015,Apr,157060,148511,8550
2015,May,157651,148817,8834
2015,Jun,157062,148816,8247
2015,Jul,156997,148830,8167
2015,Aug,157172,149181,7992
2015,Sep,156733,148826,7907
2015,Oct,157167,149246,7922
2015,Nov,157463,149463,8000
2015,Dec,158035,150128,7907
2016,Jan,158280,150653,7627
2016,Feb,158640,150939,7702
2016,Mar,159179,151218,7961
2016,Apr,159141,151074,8067
2016,May,158784,151132,7652
2016,Jun,158967,151223,7744
2016,Jul,159194,151554,7641
2016,Aug,159562,151779,7784
2016,Sep,159714,151761,7953
2016,Oct,159605,151793,7811
2016,Nov,159506,151954,7553
2016,Dec,159678,152157,7521
2017,Jan,159620,152152,7468
2017,Feb,159859,152480,7379
2017,Mar,160137,153065,7073
2017,Apr,160345,153255,7089
2017,May,160068,153069,7000
2017,Jun,160192,153318,6873
2017,Jul,160462,153569,6892
2017,Aug,160586,153503,7082
2017,Sep,161140,154286,6854
2017,Oct,160309,153609,6700
2017,Nov,160579,153805,6774
2017,Dec,160535,153904,6632
2018,Jan,160998,154493,6505
2018,Feb,161846,155259,6586
2018,Mar,161760,155303,6457
2018,Apr,161809,155362,6448
2018,May,161882,155694,6188
2018,Jun,162180,155734,6446
2018,Jul,162288,156115,6173
2018,Aug,161679,155512,6167
2018,Sep,162035,155970,6065
2018,Oct,162525,156294,6230
2018,Nov,162738,156606,6132
2018,Dec,163146,156767,6379
2019,Jan,163072,156614,6458
2019,Feb,163114,156992,6122
2019,Mar,163035,156869,6166
2019,Apr,162642,156744,5898
2019,May,162803,156868,5935
2019,Jun,163029,157123,5906
2019,Jul,163472,157488,5984
2019,Aug,163774,157780,5993
2019,Sep,164015,158249,5766
2019,Oct,164336,158356,5980
2019,Nov,164434,158504,5930
2019,Dec,164633,158772,5861
2020,Jan,164479,158653,5826
2020,Feb,164583,158866,5717
2020,Mar,162764,155599,7165
2020,Apr,156358,133320,23038
2020,May,158122,137182,20940
2020,Jun,159834,142218,17616
2020,Jul,160015,143727,16288
2020,Aug,160707,147176,13532
2020,Sep,160153,147569,12584
2020,Oct,160834,149719,11115
2020,Nov,160539,149761,10777
2020,Dec,160671,149883,10789
2021,Jan,160184,150004,10180
2021,Feb,160359,150367,9992
2021,Mar,160631,150940,9691
2021,Apr,160978,151259,9719
2021,May,160801,151550,9251
2021,Jun,161114,151612,9502
2021,Jul,161375,152704,8671
2021,Aug,161505,153167,8339
2021,Sep,161471,153806,7666
2021,Oct,161610,154234,7375
2021,Nov,162126,155324,6802
2021,Dec,162294,155975,6319
2022,Jan,163687,157174,6513
2022,Feb,163991,157722,6270
2022,Mar,164409,158458,5952
2022,Apr,164046,158105,5941
2022,May,164376,158426,5950
2022,Jun,164023,158111,5912
2022,Jul,163960,158290,5670
2022,Aug,164746,158732,6014
2022,Sep,164689,158936,5753
